时段,时间,电价,负载电量_kWh,光伏电量_kWh,计划购电量_kWh,充电量_kWh,放电量_kWh,弃光或富余电量_kWh,时段初储电量_kWh,时段末储电量_kWh,购电费用
1,00:10:00,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,597.5411392799999
2,00:20:00,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,6750.0,7500.0,596.9870283999999
3,00:30:00,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,7500.0,8250.0,600.812165565
4,00:40:00,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,1.1368683772161603e-13,8250.0,9000.0,601.9563914400001
5,00:50:00,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,9000.0,9750.0,602.127523305
6,01:00:00,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,247.09024714166665
7,01:10:00,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0,249.11531666999997
8,01:20:00,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,248.65296144
9,01:30:00,0.4279,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,5.684341886080802e-14,9750.0,10050.0,389.8859559283333
10,01:40:00,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0,250.27514204
11,01:50:00,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,252.40332342166667
12,02:00:00,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,251.36322295499997
13,02:10:00,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,250.79917072499998
14,02:20:00,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,253.1441623133333
15,02:30:00,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,255.96941232499995
16,02:40:00,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,254.93226934666666
17,02:50:00,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0,254.21536755
18,03:00:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0,255.69037072
19,03:10:00,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,257.11291269
20,03:20:00,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,257.69124138999996
21,03:30:00,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,257.35834608
22,03:40:00,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,256.91976968499995
23,03:50:00,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,257.70489226666666
24,04:00:00,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,259.7764374333333
25,04:10:00,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,261.269626635
26,04:20:00,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,260.173943645
27,04:30:00,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,258.93264501333334
28,04:40:00,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,262.11966429666666
29,04:50:00,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0,264.33842655
30,05:00:00,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,261.57391874999996
31,05:10:00,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0,255.90979645000002
32,05:20:00,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,261.6724728816667
33,05:30:00,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,248.79368904499995
34,05:40:00,0.3713,581.0198333333333,30.693383333333333,1383.6597833333333,833.3333333333333,0.0,0.0,10050.0,10800.0,513.7528775516666
35,05:50:00,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0,337.42282615999994
36,06:00:00,0.9099,733.0121166666665,64.75823333333332,2.2538833333331922,0.0,666.0,0.0,10800.0,10060.0,2.0508084449998716
37,06:10:00,0.9368,742.3353833333333,86.88005,0.0,0.0,657.0,1.5446666666666715,10060.0,9330.0,0.0
38,06:20:00,0.8758,728.6319833333333,112.12795,4.504033333333382,0.0,612.0,1.1368683772161603e-13,9330.0,8650.0,3.944632393333376
39,06:30:00,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,594.0,2.545516666666572,8650.0,7990.0,0.0
40,06:40:00,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,558.0,0.5131333333334851,7990.0,7370.0,0.0
41,06:50:00,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,531.0,1.7603000000000293,7370.0,6780.0,0.0
42,07:00:00,0.8334,753.90935,251.43863333333334,0.0,0.0,504.0,1.5292833333332965,6780.0,6220.0,0.0
43,07:10:00,0.8092,754.0120166666667,298.56845,5.4435666666666975,0.0,450.0,0.0,6220.0,5720.0,4.404934146666692
44,07:20:00,0.7972,757.6477833333333,347.5810833333333,5.066700000000026,0.0,405.0,0.0,5720.0,5270.0,4.039173240000021
45,07:30:00,0.7644,753.8736333333333,396.87685,5.996783333333269,0.0,351.0,0.0,5270.0,4880.0,4.583941179999951
46,07:40:00,0.6899,730.5594333333333,447.1958666666667,4.363566666666657,0.0,279.0,0.0,4880.0,4570.0,3.010424643333326
47,07:50:00,0.86,818.4099833333332,497.72586666666666,5.684116666666569,0.0,315.0,0.0,4570.0,4220.0,4.8883403333332485
48,08:00:00,1.1617,966.6221166666666,548.2006666666666,4.421449999999936,0.0,414.0,0.0,4220.0,3760.0,5.1363984649999255
49,08:10:00,1.1683,980.8043333333333,598.89355,3.9107833333332565,0.0,378.0,0.0,3760.0,3340.0,4.568968168333243
50,08:20:00,1.0956,958.0118833333332,648.4555333333333,3.556349999999952,0.0,306.0,0.0,3340.0,3000.0,3.896337059999947
51,08:30:00,1.0849,961.5096833333333,696.8902833333333,3.6194000000000415,0.0,261.0,0.0,3000.0,2710.0,3.9266870600000447
52,08:40:00,1.061,959.0350833333333,745.2942833333333,0.0,0.0,216.0,2.2591999999999643,2710.0,2470.0,0.0
53,08:50:00,1.043,970.6967833333333,792.1378666666666,0.0,0.0,180.0,1.4410833333332675,2470.0,2270.0,0.0
54,09:00:00,1.036,992.3766833333334,836.9845666666666,2.392116666666766,0.0,153.0,0.0,2270.0,2100.0,2.4782328666667697
55,09:10:00,1.0147,993.1616,880.9020999999999,4.259500000000116,0.0,108.0,0.0,2100.0,1980.0,4.322114650000118
56,09:20:00,0.9922,988.2592333333333,923.8623666666667,1.3968666666665968,0.0,63.0,0.0,1980.0,1910.0,1.3859711066665972
57,09:30:00,0.97,987.2971333333332,964.7348833333333,4.562249999999949,0.0,18.0,0.0,1910.0,1890.0,4.425382499999951
58,09:40:00,0.9422,984.5976666666667,1002.0217333333333,4.7981555555555815,22.22222222222222,0.0,0.0,1890.0,1910.0,4.5208221644444695
59,09:50:00,0.9569,983.1877,1036.0254666666665,2.7177888888891175,55.55555555555556,0.0,9.947598300641403e-14,1910.0,1960.0,2.6006521877779964
60,10:00:00,0.9977,983.7032666666667,1068.2656833333333,4.3264722222222645,88.88888888888889,0.0,2.842170943040401e-14,1960.0,2040.0,4.316521336111153
61,10:10,0.9919,982.9132166666666,1099.8968,5.238638888888772,122.22222222222221,0.0,0.0,2040.0,2150.0,5.1962059138887735
62,10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,144.44444444444443,0.0,2.2161555555556163,2150.0,2280.0,0.0
63,10:30,0.9549,978.9118,1152.43205,4.257527777777796,177.77777777777777,0.0,0.0,2280.0,2440.0,4.065513275000017
64,10:40,0.9839,976.3384666666667,1177.36755,0.0,200.0,0.0,1.029083333333233,2440.0,2620.0,0.0
65,10:50,0.799,974.1658,1199.5719166666665,0.0,222.22222222222223,0.0,3.18389444444432,2620.0,2820.0,0.0
66,11:00,0.5025,973.1764499999999,1217.1857,0.4351944444442779,244.44444444444443,0.0,0.0,2820.0,3040.0,0.21868520833324961
67,11:10,0.4662,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,3040.0,3790.0,268.1446813499999
68,11:20,0.5007,970.5729666666666,1243.2044999999998,5.146244444444619,277.77777777777777,0.0,5.684341886080802e-14,3790.0,4040.0,2.576724593333421
69,11:30,0.4827,969.1322,1253.4531833333333,4.567905555555626,288.88888888888886,0.0,5.684341886080802e-14,4040.0,4300.0,2.2049280116667007
70,11:40,0.4785,972.06585,1261.3673166666667,77.36519999999996,366.6666666666667,0.0,5.684341886080802e-14,4300.0,4630.0,37.01924819999998
71,11:50,0.4662,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,4630.0,5380.0,242.48204966999992
