scenario_group,scenario_name,eta,soc_min,soc_max,soc_initial,power_limit_kw,cost,grid_kwh,throughput_kwh,equivalent_cycles,peak_kw,min_soc,max_soc,max_charge_kwh,max_discharge_kwh,balance_error,soc_error,power_violations,curtailment_violations,soc_lower_bound_violations,soc_upper_bound_violations,terminal_soc_error,simultaneous_periods,simultaneous_kwh,delta_cost,cost_change_pct
基准,基准情景,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
初始和终端SOC,SOC=1200,0.9,1200.0,10800.0,1200.0,5000.0,35202.2152559563,59482.69899835391,37540.60569835392,1.5641919040980798,8505.2295,1200.0,10800.0,833.3333333333336,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,75.26666666666279,0.2142704381946001
初始和终端SOC,SOC=2400,0.9,1200.0,10800.0,2400.0,5000.0,35158.298589289625,59482.69899835391,37540.60569835392,1.5641919040980798,8505.2295,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,31.34999999999127,0.08924771794595909
初始和终端SOC,SOC=3600,0.9,1200.0,10800.0,3600.0,5000.0,35144.09858928963,59482.69899835391,37540.60569835392,1.5641919040980798,8505.2295,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,17.14999999999418,0.04882291428303366
初始和终端SOC,SOC=6000,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
初始和终端SOC,SOC=7200,0.9,1200.0,10800.0,7200.0,5000.0,35122.4652559563,59482.69899835391,37540.60569835391,1.5641919040980796,8444.303100000001,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-4.483333333337214,-0.012763230264481904
初始和终端SOC,SOC=8400,0.9,1200.0,10800.0,8400.0,5000.0,35118.94858928963,59482.69899835391,37540.60569835392,1.5641919040980798,8439.846599999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-8.000000000007276,-0.02277453727491295
初始和终端SOC,SOC=9600,0.9,1200.0,10800.0,9600.0,5000.0,35121.081922622965,59482.6989983539,37540.60569835392,1.5641919040980798,8439.061,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-5.866666666668607,-0.016701327334926498
初始和终端SOC,SOC=10800,0.9,1200.0,10800.0,10800.0,5000.0,35175.68192262296,59482.69899835391,37540.60569835392,1.5641919040980798,8444.72590000002,1200.0,10800.0,833.3333333333353,715.6530333333333,1.3642420526593924e-12,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,48.73333333332994,0.13873488956620886
充放电效率,eta=0.70,0.7,1200.0,10800.0,6000.0,5000.0,41474.89335540789,66122.00325272109,30910.28611938776,1.2879285883078233,8466.968299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,6347.944766118257,18.071438086864664
