date,soc_start,soc_end,initial_grid,final_grid,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_kwh,surplus_kwh,max_charge_discharge_overlap,stage_objectives
2025-01-01,6000.0,1200.0000000000052,72838.10595082304,72838.10595082304,45888.04234434617,0.0,73560.86577649166,119448.90812083782,18680.60063333333,320.77001666666763,0.0,[50476.84657878079]
2025-01-02,1200.0000000000052,1200.0000000000023,111203.63114999999,111203.63114999999,73431.630220195,0.0,3847.0712488499976,77278.701469045,1121.134016666666,14562.859233333336,0.0,[106293.392988607]
2025-01-03,1200.0000000000023,1199.9999999999998,108701.61904649122,108701.61904649122,71484.26318745746,0.0,0.0,71484.26318745746,0.0,58320.01101315789,0.0,[94029.79140072654]
2025-01-04,1199.9999999999998,1200.0000000000014,90337.15400141451,90337.15400141451,56507.11278440425,0.0,178.65711808118093,56685.76990248543,83.56273062730634,40778.44769870848,0.0,[72945.09943737078]
2025-01-05,1200.0000000000014,1200.0000000000005,70913.14328978614,70913.14328978614,41739.156543911085,0.0,103325.28504663835,145064.44159054942,24455.577279199373,0.0,0.0,[47552.84038576731]
2025-01-06,1200.0000000000005,1200.0000000000023,97091.35916938385,97091.35916938385,62031.97158466887,0.0,20635.84664222576,82667.81822689463,4939.560546814387,6521.771949531577,0.0,[79210.84741963798]
2025-01-07,1200.0000000000023,1199.9999999999989,95420.90911932796,95420.90911932796,60634.267916422265,0.0,22976.14027288158,83610.40818930385,5407.834373000711,3437.0233550207918,0.0,[80924.41142750032]
2025-01-08,1199.9999999999989,1200.0000000000005,103147.32479173664,103147.32479173664,66253.58425876562,0.0,16911.595987000557,83165.18024576618,4125.652042184256,12711.975517254235,0.0,[91518.35645993496]
2025-01-09,1200.0000000000005,1200.0000000000018,97500.8372233331,97500.8372233331,62046.446802215694,0.0,15960.103001860674,78006.54980407636,3843.7649746152733,5376.379414615047,0.0,[84621.67970386459]
2025-01-10,1200.0000000000018,1199.9999999999995,113000.4978933704,113000.4978933704,74705.59481970055,0.0,0.0,74705.59481970055,0.0,62484.18803921198,0.0,[101119.65895462628]
2025-01-11,1199.9999999999995,1200.0000000000036,85880.57473448172,85880.57473448172,53262.01987263273,0.0,241.28740083050414,53503.30727346323,112.85659533699913,36303.6989641721,0.0,[80437.37622954135]
2025-01-12,1200.0000000000036,1200.0000000000016,74083.30749239543,74083.30749239543,43368.46628558329,0.0,91859.58384023048,135228.05012581375,21972.150657741964,471.2364168040636,0.0,[69134.28899697047]
2025-01-13,1200.0000000000016,1199.999999999999,96221.1737316371,96221.1737316371,61250.43125726242,0.0,24338.94991730892,85589.38117457135,5985.696869807109,9056.246968110889,0.0,[77780.84089558783]
2025-01-14,1199.999999999999,1200.0000000000005,96625.6801935951,96625.6801935951,61636.54544870429,0.0,21777.276667551192,83413.82211625548,5392.784778446352,7861.48537204145,0.0,[77125.78728082833]
2025-01-15,1200.0000000000005,1199.9999999999986,94890.49775857342,94890.49775857342,60602.56178155668,0.0,22455.28388157712,83057.8456631338,5161.07783904067,5237.157613283322,0.0,[84167.12192783956]
2025-01-16,1199.9999999999986,1200.000000000001,92168.54828927682,92168.54828927682,58300.92266419715,0.0,21228.367508031195,79529.29017222834,4955.979803472397,3217.693580527413,0.0,[72456.12893086163]
2025-01-17,1200.000000000001,1200.0000000000007,104406.89220870157,104406.89220870157,68045.38137717107,0.0,0.0,68045.38137717107,0.0,56785.83681677954,0.0,[97821.33443054002]
2025-01-18,1200.0000000000007,1199.999999999999,93900.63556594549,93900.63556594549,59210.24975811015,0.0,89.96097996009463,59300.210738070244,42.077165556639216,45823.537048168786,0.0,[91396.98331365894]
2025-01-19,1199.999999999999,1200.0000000000007,60776.437490890596,60776.437490890596,34366.931965996846,0.0,135985.91232950691,170352.84429550375,32139.148962766136,4.307018613883201,0.0,[38043.98919041036]
2025-01-20,1200.0000000000007,1200.0000000000011,85990.60073161991,85990.60073161991,53677.77407414699,0.0,32865.54855921422,86543.32263336121,8038.571055163283,1207.5344614680107,0.0,[74629.89765892077]
2025-01-21,1200.0000000000011,1200.0000000000014,88358.78761698471,88358.78761698471,55346.67285827366,0.0,19201.773436384625,74548.4462946583,4761.524087560663,4870.625921491455,0.0,[75240.57886440007]
2025-01-22,1200.0000000000014,1200.0000000000014,93039.78981546858,93039.78981546858,58611.341016385544,0.0,19891.114691047787,78502.45570743333,4700.868327203831,4027.5626014023883,0.0,[79453.7855637203]
2025-01-23,1200.0000000000014,1200.0000000000018,91442.1488459311,91442.1488459311,57473.39608967955,0.0,22098.55555997922,79571.95164965876,5313.0867901642,2321.681804120813,0.0,[78322.36658053666]
2025-01-24,1200.0000000000018,1200.000000000001,98192.50831686587,98192.50831686587,63251.89026035607,0.0,0.0,63251.89026035607,0.0,53486.42850019922,0.0,[84796.99685801653]
2025-01-25,1200.000000000001,1200.0000000000011,87046.87938381209,87046.87938381209,54517.12018418949,0.0,0.0,54517.12018418949,0.0,43773.47275515985,0.0,[127051.62897297909]
2025-01-26,1200.0000000000011,1200.0000000000002,86732.44305047826,86732.44305047826,52917.89281493651,0.0,56726.660513437375,109644.55332837388,13505.13340309375,7684.984119017716,0.0,[99855.76588693648]
2025-01-27,1200.0000000000002,1200.0000000000005,84426.66997408301,84426.66997408301,52221.97530968367,0.0,26506.472040596138,78728.4473502798,6656.273880996505,2169.6937384128564,0.0,[77099.69386894722]
2025-01-28,1200.0000000000005,1199.9999999999995,91064.39233786502,91064.39233786502,56544.26689408026,0.0,21970.588169554267,78514.85506363453,5303.694258660435,4669.353896525461,0.0,[80402.52831926056]
2025-01-29,1199.9999999999995,1200.0000000000036,84457.3903661566,84457.3903661566,52052.86119861291,0.0,17535.109262533093,69587.970461146,4130.75423315746,2658.870643301796,0.0,[68730.21426603053]
2025-01-30,1200.0000000000036,1200.0000000000005,86930.62639734188,86930.62639734188,54595.33745240808,0.0,18447.06567985854,73042.40313226663,4211.0820967122445,2844.4057807129907,0.0,[78366.54882748847]
2025-01-31,1200.0000000000005,1200.0000000000014,96793.18537846615,96793.18537846615,62527.855855565635,0.0,0.0,62527.855855565635,0.0,53231.775708419416,0.0,[86792.32252558338]
2025-02-01,1200.0000000000014,1200.0000000000036,67720.4048605586,67720.4048605586,39521.736156138424,0.0,193.69318901861686,39715.42934515704,38.44070348936191,28923.558419982066,0.0,[43611.01153213678]
2025-02-02,1200.0000000000036,1200.000000000001,56934.39578999182,56934.39578999182,31754.69713682017,0.0,110316.49431065374,142071.19144747392,25437.891096413066,6.829254182931095,0.0,[35064.711717515434]
2025-02-03,1200.000000000001,1200.0000000000018,87402.27213542094,87402.27213542094,54176.55825230135,0.0,19115.729717801427,73292.28797010277,4231.9174763695755,6698.939778457182,0.0,[75568.1767235617]
2025-02-04,1200.0000000000018,1199.9999999999968,90478.3651194196,90478.3651194196,56899.5780210137,0.0,14882.428152834216,71782.00617384791,3362.358746353137,7769.193249106082,0.0,[78961.2006483278]
2025-02-05,1199.9999999999968,1200.0000000000011,88145.45153992911,88145.45153992911,55179.78787817748,0.0,16079.406018227342,71259.19389640482,3834.3890556323454,6365.998019460863,0.0,[82772.02936565816]
2025-02-06,1200.0000000000011,1200.0000000000023,94164.08201280149,94164.08201280149,59450.47115758629,0.0,13459.92663188534,72910.39778947164,3180.671613086746,12197.02974255491,0.0,[87535.20909671715]
2025-02-07,1200.0000000000023,1199.9999999999998,98145.50509175,98145.50509175,63415.809352068805,0.0,0.0,63415.809352068805,0.0,61463.158758416685,0.0,[90083.48892795057]
2025-02-08,1199.9999999999998,1200.0000000000018,58328.14806312705,58328.14806312705,33452.494243139285,0.0,267.9409741616018,33720.43521730089,56.267317089498704,22637.77433958698,0.0,[36833.72805943725]
2025-02-09,1200.0000000000018,1200.0,76650.31873925685,76650.31873925685,46237.5895553077,0.0,52284.5145773539,98522.1041326616,12499.447224331849,4882.041893751754,0.0,[75600.88498012259]
2025-02-10,1200.0,1200.0000000000002,79448.31804644779,79448.31804644779,48622.23379437696,0.0,23292.736894831043,71914.970689208,5652.014937123189,6141.810304899676,0.0,[70170.98456033111]
2025-02-11,1200.0000000000002,1200.0000000000023,82423.72005544635,82423.72005544635,50992.126345492914,0.0,23818.407017407786,74810.5333629007,5401.802749669182,7845.797492248414,0.0,[72538.9581981745]
2025-02-12,1200.0000000000023,1200.0000000000016,83990.99817293212,83990.99817293212,52311.94439399909,0.0,16266.559559868176,68578.50395386727,3819.3432813563986,7825.27198762185,0.0,[71373.52868547756]
2025-02-13,1200.0000000000016,1200.0000000000005,78334.80911089809,78334.80911089809,47911.22982512404,0.0,13971.336059951085,61882.56588507513,3505.23236943936,6093.376461062258,0.0,[63486.59989990608]
2025-02-14,1200.0000000000005,1200.0000000000032,89729.99017254161,89729.99017254161,57101.470437078344,0.0,0.0,57101.470437078344,0.0,55290.05141073658,0.0,[79403.92309928882]
