时段序号,时间段,计划购电量/kWh,充电量/kWh,放电量/kWh,时段初SOC/kWh,时段末SOC/kWh,紧急购电量/kWh
1,0:00-0:10,1533.5102150658208,833.3324261866865,0.0,6631.319566354416,7381.318749922433,0.0
2,0:10-0:20,1515.701319970166,833.3333333333333,0.0,7381.318749922433,8131.318749922433,0.0
3,0:20-0:30,1471.3795032890002,833.3333333333333,0.0,8131.318749922433,8881.318749922433,0.0
4,0:30-0:40,1113.327884588862,465.2013889750738,0.0,8881.318749922433,9300.0,0.0
5,0:40-0:50,1484.7909621586493,833.3333333333333,0.0,9300.0,10050.0,0.0
6,0:50-1:00,639.1406265530177,0.0,0.0,10050.0,10050.0,0.0
7,1:00-1:10,643.05596160445,0.0,0.0,10050.0,10050.0,0.0
8,1:10-1:20,642.7919582916969,0.0,0.0,10050.0,10050.0,0.0
9,1:20-1:30,644.2755964280141,0.0,0.0,10050.0,10050.0,0.0
10,1:30-1:40,676.256537494448,0.0,0.0,10050.0,10050.0,0.0
11,1:40-1:50,680.6384100229346,0.0,0.0,10050.0,10050.0,0.0
12,1:50-2:00,651.350368842212,0.0,0.0,10050.0,10050.0,0.0
13,2:00-2:10,631.7257795157811,0.0,0.0,10050.0,10050.0,0.0
14,2:10-2:20,628.1066721478143,0.0,0.0,10050.0,10050.0,0.0
15,2:20-2:30,640.6869238674367,0.0,0.0,10050.0,10050.0,0.0
16,2:30-2:40,671.7175223057587,0.0,0.0,10050.0,10050.0,0.0
17,2:40-2:50,682.3910679888826,0.0,0.0,10050.0,10050.0,0.0
18,2:50-3:00,662.9379002828146,0.0,0.0,10050.0,10050.0,0.0
19,3:00-3:10,653.3298874496651,0.0,0.0,10050.0,10050.0,0.0
20,3:10-3:20,658.6023539999667,0.0,0.0,10050.0,10050.0,0.0
21,3:20-3:30,666.6330704343546,0.0,0.0,10050.0,10050.0,0.0
22,3:30-3:40,660.5594707527513,0.0,0.0,10050.0,10050.0,0.0
23,3:40-3:50,657.9626080128894,0.0,0.0,10050.0,10050.0,0.0
24,3:50-4:00,661.1322113339833,0.0,0.0,10050.0,10050.0,0.0
25,4:00-4:10,668.9888642288306,0.0,0.0,10050.0,10050.0,0.0
26,4:10-4:20,669.7845677043908,0.0,0.0,10050.0,10050.0,0.0
27,4:20-4:30,655.3035226766602,0.0,0.0,10050.0,10050.0,0.0
