时段序号,时间段,计划购电量/kWh,充电量/kWh,放电量/kWh,时段初SOC/kWh,时段末SOC/kWh,紧急购电量/kWh
1,0:00-0:10,587.3632749999997,0.0,0.0,10800.0,10800.0,0.0
2,0:10-0:20,573.6034416666666,0.0,0.0,10800.0,10800.0,0.0
3,0:20-0:30,552.6574999999999,0.0,0.0,10800.0,10800.0,61.194166666666774
4,0:30-0:40,571.4388416666667,0.0,0.0,10800.0,10800.0,8.017324999999914
5,0:40-0:50,581.6047166666667,0.0,0.0,10800.0,10800.0,0.0
6,0:50-1:00,566.1949999999999,0.0,0.0,10800.0,10800.0,4.9616666666667015
7,1:00-1:10,556.8827916666667,0.0,0.0,10800.0,10800.0,44.70625833333327
8,1:10-1:20,556.7464166666666,0.0,0.0,10800.0,10800.0,54.73733333333337
9,1:20-1:30,560.17,0.0,0.0,10800.0,10800.0,38.04666666666674
10,1:30-1:40,565.7174583333333,0.0,0.0,10800.0,10800.0,18.218491666666637
11,1:40-1:50,590.6408083333333,0.0,0.0,10800.0,10800.0,0.3542416666666668
12,1:50-2:00,616.8025,0.0,0.0,10800.0,10800.0,0.0
13,2:00-2:10,604.0305166666667,0.0,0.0,10800.0,10800.0,0.0
14,2:10-2:20,583.2615499999999,0.0,0.0,10800.0,10800.0,0.0
15,2:20-2:30,579.9716666666666,0.0,0.0,10800.0,10800.0,0.0
16,2:30-2:40,593.6026916666667,0.0,0.0,10800.0,10800.0,4.32387499999993
17,2:40-2:50,613.87695,0.0,0.0,10800.0,10800.0,0.0
18,2:50-3:00,621.6324999999999,0.0,0.0,10800.0,10800.0,0.0
19,3:00-3:10,602.8517166666667,0.0,0.0,10800.0,10800.0,2.3585833333332857
20,3:10-3:20,589.6770999999999,0.0,0.0,10800.0,10800.0,32.215283333333446
21,3:20-3:30,596.8499999999999,0.0,0.0,10800.0,10800.0,23.318333333333385
22,3:30-3:40,606.81385,0.0,0.0,10800.0,10800.0,9.809233333333282
23,3:40-3:50,591.2154,0.0,0.0,10800.0,10800.0,21.248349999999846
24,3:50-4:00,572.4466666666666,0.0,0.0,10800.0,10800.0,31.48333333333335
25,4:00-4:10,598.5320333333333,0.0,0.0,10800.0,10800.0,0.0
26,4:10-4:20,610.8028083333334,0.0,0.0,10800.0,10800.0,0.0
27,4:20-4:30,597.9549999999999,0.0,0.0,10800.0,10800.0,0.0
28,4:30-4:40,606.5323583333333,0.0,0.0,10800.0,10800.0,0.0
29,4:40-4:50,616.8278416666667,0.0,0.0,10800.0,10800.0,0.0
30,4:50-5:00,610.9816666666666,0.0,0.0,10800.0,10800.0,14.613333333333458
31,5:00-5:10,595.438270072056,0.0,0.0,10800.0,10800.0,23.995646594610704
32,5:10-5:20,595.53725,0.0,0.0,10800.0,10800.0,22.30714999999998
33,5:20-5:30,600.8608333333333,0.0,0.0,10800.0,10800.0,6.25416666666672
34,5:30-5:40,594.5939847195234,0.0,0.0,10800.0,10800.0,0.0
35,5:40-5:50,689.5381833333333,0.0,0.0,10800.0,10800.0,0.0
36,5:50-6:00,0.0,0.0,826.4108333333334,10800.0,9881.76574074074,0.6041666666666288
37,6:00-6:10,0.0,0.0,806.1204156015095,9881.76574074074,8986.076390072396,0.0
38,6:10-6:20,0.0,0.0,752.0831833637428,8986.076390072396,8150.428408557126,0.0
39,6:20-6:30,0.0,0.0,716.0700032363097,8150.428408557126,7354.795071627893,0.0
40,6:30-6:40,0.0,0.0,634.4624743458563,7354.795071627893,6649.836766799163,0.0
41,6:40-6:50,202.6403538516335,0.0,372.16812668849667,6649.836766799163,6236.316626034167,11.347436126536309
42,6:50-7:00,540.5879176994893,0.0,0.0,6236.316626034167,6236.316626034167,0.0
43,7:00-7:10,471.16209350021666,0.0,0.0,6236.316626034167,6236.316626034167,0.0
44,7:10-7:20,437.915548305977,0.0,0.0,6236.316626034167,6236.316626034167,0.0
45,7:20-7:30,415.6840904903539,0.0,0.0,6236.316626034167,6236.316626034167,0.0
46,7:30-7:40,326.7355999793536,0.0,0.0,6236.316626034167,6236.316626034167,0.0
47,7:40-7:50,0.0,0.0,390.0621226589765,6236.316626034167,5802.914267524193,0.0
48,7:50-8:00,0.0,0.0,549.1827623851232,5802.914267524193,5192.711198207389,0.0
49,8:00-8:10,0.0,0.0,521.0864526655648,5192.711198207389,4613.726250801206,0.0
50,8:10-8:20,0.0,0.0,459.9756530973899,4613.726250801206,4102.642191804106,0.0
51,8:20-8:30,0.0,0.0,415.3652516514878,4102.642191804106,3641.125245524675,0.0
52,8:30-8:40,0.0,0.0,372.830160345977,3641.125245524675,3226.8695118069227,0.0
53,8:40-8:50,0.0,0.0,329.40425499781566,3226.8695118069227,2860.864784031572,0.0
54,8:50-9:00,0.0,0.0,307.0406250295662,2860.864784031572,2519.7085339987207,0.0
55,9:00-9:10,0.0,0.0,264.5796925698993,2519.7085339987207,2225.7310978099435,0.0
56,9:10-9:20,0.0,0.0,236.04778605343392,2225.7310978099435,1963.4557799727947,0.0
57,9:20-9:30,0.0,0.0,225.28285904648453,1963.4557799727947,1713.1414921433675,0.0
58,9:30-9:40,0.0,0.0,161.1692042690952,1713.1414921433675,1534.0645985110395,0.0
59,9:40-9:50,0.0,0.0,142.95020818650642,1534.0645985110395,1375.2310338593657,0.0
60,9:50-10:00,0.0,0.0,126.70339906496565,1375.2310338593657,1234.449479342737,0.0
61,10:00-10:10,0.0,0.0,31.004009402890688,1234.449479342737,1200.0005800061917,0.0
62,10:10-10:20,0.0,0.0,0.0,1200.0005800061917,1200.0005800061917,0.0
63,10:20-10:30,0.0,0.0,0.0,1200.0005800061917,1200.0005800061917,0.0
64,10:30-10:40,0.0,29.93915815250739,0.0,1200.0005800061917,1226.9458223434483,0.0
65,10:40-10:50,0.0,104.17988044930166,0.0,1226.9458223434483,1320.7077147478199,0.0
66,10:50-11:00,755.7131575083795,833.3333333333333,0.0,1320.7077147478199,2070.70771474782,0.0
67,11:00-11:10,768.7587730634509,833.3333333333333,0.0,2070.70771474782,2820.70771474782,0.0
68,11:10-11:20,745.3377964367787,833.3333333333333,0.0,2820.70771474782,3570.70771474782,0.0
69,11:20-11:30,703.5345287873338,833.3333333333333,0.0,3570.70771474782,4320.707714747819,0.0
70,11:30-11:40,717.3861394433588,833.3333333333333,0.0,4320.707714747819,5070.707714747819,0.0
71,11:40-11:50,636.7021501393908,833.3333333333333,0.0,5070.707714747819,5820.707714747819,0.0
72,11:50-12:00,680.8716904702978,833.3333333333333,0.0,5820.707714747819,6570.707714747819,0.0
73,12:00-12:10,606.2732210615517,833.3333333333333,0.0,6570.707714747819,7320.707714747819,0.0
74,12:10-12:20,588.3574332134459,833.3333333333333,0.0,7320.707714747819,8070.707714747819,0.0
75,12:20-12:30,578.7697482966462,833.3333333333333,0.0,8070.707714747819,8820.70771474782,0.0
76,12:30-12:40,629.4464469784704,833.3333333333333,0.0,8820.70771474782,9570.70771474782,4.057453021529682
77,12:40-12:50,645.1447959435434,833.3333333333333,0.0,9570.70771474782,10320.70771474782,15.090304056456489
78,12:50-13:00,0.0,159.9377767953806,0.0,10320.70771474782,10464.651713863663,0.0
79,13:00-13:10,0.0,96.61800729684819,0.0,10464.651713863663,10551.607920430826,0.0
80,13:10-13:20,0.0,79.2506344249307,0.0,10551.607920430826,10622.933491413263,0.0
81,13:20-13:30,0.0,95.53576215729561,0.0,10622.933491413263,10708.91567735483,0.41701215729563046
