时段序号,时间段,计划购电量/kWh,充电量/kWh,放电量/kWh,时段初SOC/kWh,时段末SOC/kWh,紧急购电量/kWh
1,0:00-0:10,1427.565292794723,833.3333333333333,0.0,6222.38600931594,6972.38600931594,1.7857572052766955
2,0:10-0:20,1421.5216166666667,833.3333333333333,0.0,6972.38600931594,7722.38600931594,1.4568833333332805
3,0:20-0:30,1441.0318083333332,833.3333333333333,0.0,7722.38600931594,8472.38600931594,0.0
4,0:30-0:40,1465.0149666666666,833.3333333333333,0.0,8472.38600931594,9222.38600931594,0.0
5,0:40-0:50,1471.0779,833.3333333333333,0.0,9222.38600931594,9972.38600931594,0.0
6,0:50-1:00,631.2433333333333,0.0,0.0,9972.38600931594,9972.38600931594,0.0
7,1:00-1:10,616.0483266285702,0.0,0.0,9972.38600931594,9972.38600931594,0.0
8,1:10-1:20,627.1917833333333,0.0,0.0,9972.38600931594,9972.38600931594,6.044166666666683
9,1:20-1:30,727.7336007600666,86.23776742673321,0.0,9972.38600931594,10050.0,0.0
10,1:30-1:40,627.1209833333332,0.0,0.0,10050.0,10050.0,10.368283333333352
11,1:40-1:50,617.2335999999999,0.0,0.0,10050.0,10050.0,5.134400000000028
12,1:50-2:00,629.8537389228333,0.0,0.0,10050.0,10050.0,0.0
13,2:00-2:10,638.3390463441441,0.0,0.0,10050.0,10050.0,4.407186989189199
14,2:10-2:20,648.0267833333332,0.0,0.0,10050.0,10050.0,5.842333333333386
15,2:20-2:30,661.5849347815986,0.0,0.0,10050.0,10050.0,0.0
16,2:30-2:40,674.4701097815986,0.0,0.0,10050.0,10050.0,0.0
17,2:40-2:50,661.042575,0.0,0.0,10050.0,10050.0,0.0
18,2:50-3:00,642.3025000000001,0.0,0.0,10050.0,10050.0,0.0
19,3:00-3:10,659.4942916666666,0.0,0.0,10050.0,10050.0,37.26339166666662
20,3:10-3:20,678.3674491677853,0.0,0.0,10050.0,10050.0,7.521334165548069
21,3:20-3:30,667.1688232736597,0.0,0.0,10050.0,10050.0,0.0
22,3:30-3:40,652.2613416666666,0.0,0.0,10050.0,10050.0,51.15295833333346
23,3:40-3:50,662.3392916666664,0.0,0.0,10050.0,10050.0,74.98165833333348
24,3:50-4:00,686.0522982192786,0.0,0.0,10050.0,10050.0,0.0
25,4:00-4:10,680.1993333333334,0.0,0.0,10050.0,10050.0,0.0
26,4:10-4:20,685.0930798478198,0.0,0.0,10050.0,10050.0,0.0
27,4:20-4:30,712.8229083333333,0.0,0.0,10050.0,10050.0,0.0
28,4:30-4:40,732.379163181153,0.0,0.0,10050.0,10050.0,0.0
29,4:40-4:50,719.314371265002,0.0,0.0,10050.0,10050.0,0.0
30,4:50-5:00,699.6355420341594,0.0,0.0,10050.0,10050.0,0.0
31,5:00-5:10,722.5271476364511,0.0,0.0,10050.0,10050.0,0.0
32,5:10-5:20,727.2556172472381,0.0,0.0,10050.0,10050.0,0.0
33,5:20-5:30,692.7908333333332,0.0,0.0,10050.0,10050.0,0.0
34,5:30-5:40,1513.1972695502618,833.3333333333333,0.0,10050.0,10800.0,0.0
35,5:40-5:50,781.427183700826,0.0,0.0,10800.0,10800.0,4.858582965840583
36,5:50-6:00,918.254531033724,0.0,0.0,10800.0,10800.0,0.0
37,6:00-6:10,237.46299838893606,0.0,675.0,10800.0,10050.0,0.0
38,6:10-6:20,883.1310560337239,0.0,0.0,10050.0,10050.0,18.174360632942808
39,6:20-6:30,913.4405313379939,0.0,0.0,10050.0,10050.0,17.734468662006066
40,6:30-6:40,924.4412722300143,0.0,0.0,10050.0,10050.0,0.0
41,6:40-6:50,937.7718238797886,0.0,0.0,10050.0,10050.0,0.0
42,6:50-7:00,938.3057761705279,0.0,0.0,10050.0,10050.0,0.0
43,7:00-7:10,891.4420303840482,0.0,0.0,10050.0,10050.0,0.0
44,7:10-7:20,843.901043748793,0.0,0.0,10050.0,10050.0,0.0
45,7:20-7:30,806.9978975795648,0.0,0.0,10050.0,10050.0,0.0
46,7:30-7:40,1585.6283593479025,833.3333333333333,0.0,10050.0,10800.0,0.0
47,7:40-7:50,824.9154364113208,0.0,0.0,10800.0,10800.0,0.0
48,7:50-8:00,128.24498553019475,0.0,833.3333333333333,10800.0,9874.074074074075,0.0
49,8:00-8:10,114.67736290929793,0.0,833.3333333333333,9874.074074074075,8948.14814814815,0.0
50,8:10-8:20,49.78423859607801,0.0,833.3333333333333,8948.14814814815,8022.2222222222235,0.0
51,8:20-8:30,0.0,0.0,823.9319751680525,8022.2222222222235,7106.742249813276,0.0
52,8:30-8:40,0.0,0.0,752.2943793725572,7106.742249813276,6270.859606065991,0.0
