时段序号,时间段,计划购电量/kWh,充电量/kWh,放电量/kWh,时段初SOC/kWh,时段末SOC/kWh,紧急购电量/kWh
1,0:00-0:10,634.7784914762269,0.0,0.0,10800.0,10800.0,0.0
2,0:10-0:20,625.2361921022709,0.0,0.0,10800.0,10800.0,0.0
3,0:20-0:30,610.7439001311488,0.0,0.0,10800.0,10800.0,0.0
4,0:30-0:40,581.6287815772815,0.0,0.0,10800.0,10800.0,16.880135089385135
5,0:40-0:50,577.635683181307,0.0,0.0,10800.0,10800.0,28.874966818692997
6,0:50-1:00,595.622456995584,0.0,0.0,10800.0,10800.0,0.0
7,1:00-1:10,592.3825518910005,0.0,0.0,10800.0,10800.0,4.970798108999475
8,1:10-1:20,585.6714643871298,0.0,0.0,10800.0,10800.0,0.0
9,1:20-1:30,585.2217998188474,0.0,0.0,10800.0,10800.0,0.0
10,1:30-1:40,581.7388811340093,0.0,0.0,10800.0,10800.0,2.314468865990648
11,1:40-1:50,584.5870190429193,0.0,0.0,10800.0,10800.0,17.27459762374724
12,1:50-2:00,591.4959060385659,0.0,0.0,10800.0,10800.0,0.0
13,2:00-2:10,589.287045734672,0.0,0.0,10800.0,10800.0,15.27600426532797
14,2:10-2:20,587.1368172762268,0.0,0.0,10800.0,10800.0,20.66273272377316
15,2:20-2:30,594.0905664960517,0.0,0.0,10800.0,10800.0,0.896100170615
16,2:30-2:40,608.2439325475211,0.0,0.0,10800.0,10800.0,0.0
17,2:40-2:50,608.7640458215654,0.0,0.0,10800.0,10800.0,0.0
18,2:50-3:00,598.8902679029392,0.0,0.0,10800.0,10800.0,0.0
19,3:00-3:10,601.81710806323,0.0,0.0,10800.0,10800.0,0.0
20,3:10-3:20,606.0229894191101,0.0,0.0,10800.0,10800.0,0.0
21,3:20-3:30,600.5715451537338,0.0,0.0,10800.0,10800.0,0.0
22,3:30-3:40,588.998414045608,0.0,0.0,10800.0,10800.0,0.0
23,3:40-3:50,593.1208846550719,0.0,0.0,10800.0,10800.0,9.632448678261426
24,3:50-4:00,609.9644637916617,0.0,0.0,10800.0,10800.0,13.163869541671602
25,4:00-4:10,614.7295133598054,0.0,0.0,10800.0,10800.0,0.0
26,4:10-4:20,612.1733149106341,0.0,0.0,10800.0,10800.0,0.0
27,4:20-4:30,610.8945184959412,0.0,0.0,10800.0,10800.0,5.177148170725445
28,4:30-4:40,613.4126344337868,0.0,0.0,10800.0,10800.0,0.0
29,4:40-4:50,613.4710364115278,0.0,0.0,10800.0,10800.0,0.0
30,4:50-5:00,604.0948260571503,0.0,0.0,10800.0,10800.0,14.02850727618295
31,5:00-5:10,589.5797086285537,0.0,0.0,10800.0,10800.0,35.58555803811294
32,5:10-5:20,609.9287113449158,0.0,0.0,10800.0,10800.0,4.9794219884175845
33,5:20-5:30,631.1902477467632,0.0,0.0,10800.0,10800.0,0.0
34,5:30-5:40,595.307802067152,0.0,0.0,10800.0,10800.0,0.0
35,5:40-5:50,667.8720985495727,0.0,0.0,10800.0,10800.0,0.0
36,5:50-6:00,0.0,0.0,812.0378089895132,10800.0,9897.735767789429,0.0
37,6:00-6:10,0.0,0.0,807.8519666455275,9897.735767789429,9000.12247151662,0.0
38,6:10-6:20,0.0,0.0,725.3834413688485,9000.12247151662,8194.140869995677,17.276375297818163
39,6:20-6:30,0.0,0.0,689.6012277401171,8194.140869995677,7427.9172836177695,0.8675222598827759
40,6:30-6:40,0.0,0.0,630.1277772071236,7427.9172836177695,6727.775308943188,0.45623945954309875
41,6:40-6:50,0.0,0.0,572.7317434698481,6727.775308943188,6091.406705087801,12.15040653015194
42,6:50-7:00,0.0,0.0,544.1989871110327,6091.406705087801,5486.74116385332,2.013512888967284
43,7:00-7:10,77.06959388410507,0.0,399.2209576378837,5486.74116385332,5043.1623220334495,8.43228181134458
44,7:10-7:20,441.1408337200853,0.0,0.0,5043.1623220334495,5043.1623220334495,0.0
45,7:20-7:30,391.0791399716054,0.0,0.0,5043.1623220334495,5043.1623220334495,0.0
46,7:30-7:40,292.1200878838067,0.0,0.0,5043.1623220334495,5043.1623220334495,0.0
47,7:40-7:50,0.0,0.0,353.00190505345006,5043.1623220334495,4650.937983085171,4.728311613216647
48,7:50-8:00,0.0,0.0,547.5682778142167,4650.937983085171,4042.528785513819,0.0
49,8:00-8:10,0.0,0.0,488.54654402215874,4042.528785513819,3499.699292155865,0.0
50,8:10-8:20,0.0,0.0,428.1486227683887,3499.699292155865,3023.978600190989,0.0
51,8:20-8:30,0.0,0.0,383.2232645202563,3023.978600190989,2598.1749729462595,0.0
52,8:30-8:40,0.0,0.0,295.42670748943124,2598.1749729462595,2269.9230757357805,0.0
53,8:40-8:50,0.0,0.0,273.557519351667,2269.9230757357805,1965.9702764561503,0.0
54,8:50-9:00,0.0,0.0,232.9403067616871,1965.9702764561503,1707.147713387609,0.0
55,9:00-9:10,0.0,0.0,199.46528769045392,1707.147713387609,1485.5196159537713,0.0
56,9:10-9:20,0.0,0.0,142.73733071957236,1485.5196159537713,1326.9225818209131,0.0
57,9:20-9:30,0.0,0.0,101.13188088837319,1326.9225818209131,1214.5538252782762,0.0
58,9:30-9:40,0.0,0.0,2.640766752188938,1214.5538252782762,1211.6196399980663,31.439899914477564
59,9:40-9:50,0.0,0.0,0.0,1211.6196399980663,1211.6196399980663,13.978433333333214
60,9:50-10:00,0.0,0.0,10.457675998259674,1211.6196399980663,1200.0,0.0
61,10:00-10:10,0.0,31.443269332897444,0.0,1200.0,1228.2989423996078,34.83223599956409
62,10:10-10:20,0.0,71.5571370135815,0.0,1228.2989423996078,1292.7003657118312,25.643570346914657
63,10:20-10:30,0.0,122.02983231704047,0.0,1292.7003657118312,1402.5272147971675,0.0
64,10:30-10:40,0.0,190.14184640675603,0.0,1402.5272147971675,1573.6548765632479,43.35279640675617
65,10:40-10:50,0.0,209.0006426526827,0.0,1573.6548765632479,1761.7554549506622,81.1875759860161
66,10:50-11:00,276.38833221390223,514.5594045238815,0.0,1761.7554549506622,2224.8589190221555,89.98523897664609
67,11:00-11:10,560.0767015991262,833.3333333333333,0.0,2224.8589190221555,2974.8589190221555,35.314915067540596
68,11:10-11:20,564.1662818834077,833.3333333333333,0.0,2974.8589190221555,3724.8589190221555,0.0
69,11:20-11:30,556.4954756059794,833.3333333333333,0.0,3724.8589190221555,4474.8589190221555,0.0
70,11:30-11:40,546.4894126956019,833.3333333333333,0.0,4474.8589190221555,5224.8589190221555,0.0
71,11:40-11:50,481.5583540112923,833.3333333333333,0.0,5224.8589190221555,5974.8589190221555,7.798529322040849
72,11:50-12:00,435.64644290653905,833.3333333333333,0.0,5974.8589190221555,6724.8589190221555,0.0
73,12:00-12:10,420.24610295582625,833.3333333333333,0.0,6724.8589190221555,7474.8589190221555,0.0
74,12:10-12:20,420.3804183269507,833.3333333333333,0.0,7474.8589190221555,8224.858919022156,0.0
75,12:20-12:30,441.28949185894817,833.3333333333333,0.0,8224.858919022156,8974.858919022156,0.0
76,12:30-12:40,515.1016269483896,833.3333333333333,0.0,8974.858919022156,9724.858919022156,0.0
77,12:40-12:50,0.0,333.35923759206116,0.0,9724.858919022156,10024.88223285501,0.0
78,12:50-13:00,0.0,213.19617562231156,0.0,10024.88223285501,10216.758790915092,0.0
79,13:00-13:10,0.0,199.27709886526986,0.0,10216.758790915092,10396.108179893834,0.0
80,13:10-13:20,0.0,174.43912542765838,0.0,10396.108179893834,10553.103392778727,0.0
81,13:20-13:30,0.0,159.96585510884165,0.0,10553.103392778727,10697.072662376684,0.0
82,13:30-13:40,0.0,84.90281648013342,0.0,10697.072662376684,10773.485197208804,0.0
83,13:40-13:50,0.0,29.460891990217988,0.0,10773.485197208804,10800.0,0.0
84,13:50-14:00,0.0,0.0,0.0,10800.0,10800.0,0.0
85,14:00-14:10,0.0,0.0,0.0,10800.0,10800.0,0.0
86,14:10-14:20,0.0,0.0,14.80067098321365,10800.0,10783.554810018652,0.0
87,14:20-14:30,0.0,0.0,0.0,10783.554810018652,10783.554810018652,63.75833333333344
88,14:30-14:40,0.0,0.0,93.7783855690833,10783.554810018652,10679.356603830782,43.507081097583296
89,14:40-14:50,0.0003636137626870095,0.0,149.5097785201049,10679.356603830782,10513.234627697331,53.070974532799
90,14:50-15:00,195.92715501777104,0.0,0.0,10513.234627697331,10513.234627697331,54.246594982229
91,15:00-15:10,540.4867777911745,318.62819144740905,0.0,10513.234627697331,10800.0,34.02526365623453
92,15:10-15:20,274.1252840740266,0.0,0.0,10800.0,10800.0,13.658915925973247
93,15:20-15:30,375.5737134250836,0.0,0.0,10800.0,10800.0,0.0
94,15:30-15:40,422.11260505796315,0.0,0.0,10800.0,10800.0,0.0
95,15:40-15:50,447.48181091379877,0.0,0.0,10800.0,10800.0,0.0
96,15:50-16:00,494.7052849445213,0.0,0.0,10800.0,10800.0,0.0
97,16:00-16:10,542.2245530004056,0.0,0.0,10800.0,10800.0,47.208096999594204
98,16:10-16:20,629.4135364212276,0.0,0.0,10800.0,10800.0,6.400113578772448
99,16:20-16:30,678.1936076408804,0.0,0.0,10800.0,10800.0,0.0
100,16:30-16:40,735.6363381690537,0.0,0.0,10800.0,10800.0,0.0
101,16:40-16:50,781.2594464834056,0.0,0.0,10800.0,10800.0,0.0
102,16:50-17:00,826.8803428447615,0.0,0.0,10800.0,10800.0,0.0
103,17:00-17:10,835.6966986771747,0.0,0.0,10800.0,10800.0,41.39028465615854
104,17:10-17:20,896.9546347554987,0.0,0.0,10800.0,10800.0,16.38198191116797
105,17:20-17:30,996.3900813345435,0.0,0.0,10800.0,10800.0,0.0
106,17:30-17:40,1078.5292757433424,0.0,0.0,10800.0,10800.0,0.0
107,17:40-17:50,968.3756717340797,0.0,0.0,10800.0,10800.0,0.0
108,17:50-18:00,775.646099466195,0.0,0.0,10800.0,10800.0,0.0
109,18:00-18:10,768.1260776179967,0.0,0.0,10800.0,10800.0,0.0
110,18:10-18:20,798.6132730440884,0.0,0.0,10800.0,10800.0,31.613993622578338
111,18:20-18:30,785.1840801381214,0.0,0.0,10800.0,10800.0,49.2325865285452
112,18:30-18:40,806.11305724322,0.0,0.0,10800.0,10800.0,30.04659275678
113,18:40-18:50,809.6534597737349,0.0,0.0,10800.0,10800.0,0.7112402262650286
114,18:50-19:00,0.0,0.0,792.8984693908025,10800.0,9919.001700676887,0.0
115,19:00-19:10,0.0,0.0,811.1791258415858,9919.001700676887,9017.691560852902,0.0
116,19:10-19:20,0.0,0.0,821.8126285225196,9017.691560852902,8104.566418050102,3.783238144147049
117,19:20-19:30,0.0,0.0,808.3611359997221,8104.566418050102,7206.38737805041,9.455530666944469
118,19:30-19:40,0.0,0.0,798.6336035582681,7206.38737805041,6319.016707430112,0.0
119,19:40-19:50,0.0,0.0,791.3114163191597,6319.016707430112,5439.781800408823,0.0
120,19:50-20:00,0.0,0.0,792.2782836002702,5439.781800408823,4559.472596408523,19.63338306639639
121,20:00-20:10,0.0,0.0,810.3083528539947,4559.472596408523,3659.1299821263065,16.869763812671863
122,20:10-20:20,186.08889699003998,0.0,621.860062745343,3659.1299821263065,2968.174356853703,35.61874026461703
123,20:20-20:30,0.0,0.0,791.0938764162993,2968.174356853703,2089.181160835593,48.614456917033976
124,20:30-20:40,0.0,0.0,800.2630447520334,2089.181160835593,1200.0,0.0
125,20:40-20:50,797.0880640420239,0.0,0.0,1200.0,1200.0,4.573735957976055
126,20:50-21:00,788.4190531030526,0.0,0.0,1200.0,1200.0,80.79761356361405
127,21:00-21:10,817.3040222372388,0.0,0.0,1200.0,1200.0,25.22036109609462
128,21:10-21:20,814.304908895176,0.0,0.0,1200.0,1200.0,0.0
129,21:20-21:30,792.7350607390354,0.0,0.0,1200.0,1200.0,20.6466059276313
130,21:30-21:40,821.3878509719839,0.0,0.0,1200.0,1200.0,8.481282361349372
131,21:40-21:50,754.5957704779269,0.0,0.0,1200.0,1200.0,13.590729522073048
132,21:50-22:00,1452.5052378469695,833.3333333333333,0.0,1200.0,1950.0,20.071428819697076
133,22:00-22:10,1432.5838565279253,833.3333333333333,0.0,1950.0,2700.0,0.0
134,22:10-22:20,1271.0338072700688,666.6668362281436,0.0,2700.0,3300.0001526053293,0.0
135,22:20-22:30,1429.199977751381,833.3333333333333,0.0,3300.0001526053293,4050.0001526053293,51.34002224861888
