date,period,time,price_yuan_per_kwh,predicted_load_kwh,actual_load_kwh,predicted_pv_kwh,actual_pv_kwh,planned_grid_kwh,planned_charge_kwh,planned_discharge_kwh,predicted_curtailment_kwh,soc_before_kwh,soc_after_kwh,actual_emergency_kwh,actual_surplus_kwh,planned_cost_yuan,emergency_cost_yuan
2025-02-01,1,0:10-0:20,0.4248,528.6745416666666,422.0303666666667,0.0,0.0,528.6745416666672,0.0,0.0,5.684341886080801e-13,10800.0,10800.0,0.0,106.64417500000053,224.58094530000022,0.0
2025-02-01,2,0:20-0:30,0.4245,525.4224083333332,415.4073166666667,0.0,0.0,525.4224083333332,0.0,0.0,0.0,10800.0,10800.0,0.0,110.01509166666654,223.04181233749995,0.0
2025-02-01,3,0:30-0:40,0.4269,521.6633333333333,410.7166666666667,0.0,0.0,521.6633333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,110.9466666666666,222.69807699999998,0.0
2025-02-01,4,0:40-0:50,0.4272,532.2987916666666,430.29479999999995,0.0,0.0,532.2987916666666,0.0,0.0,0.0,10800.0,10800.0,0.0,102.00399166666665,227.39804379999998,0.0
2025-02-01,5,0:50-1:00,0.4271,541.8784166666667,424.4105833333333,0.0,0.0,541.8784166666667,0.0,0.0,0.0,10800.0,10800.0,0.0,117.46783333333337,231.43627175833333,0.0
2025-02-01,6,1:00-1:10,0.4285,548.7208333333333,406.0516666666666,0.0,0.0,548.7208333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,142.66916666666668,235.1268770833333,0.0
2025-02-01,7,1:10-1:20,0.4311,563.4058249999999,436.7501833333333,0.0,0.0,563.4058249999999,0.0,0.0,0.0,10800.0,10800.0,0.0,126.65564166666661,242.88425115749996,0.0
2025-02-01,8,1:20-1:30,0.4302,561.628525,451.7976833333333,0.0,0.0,561.628525,0.0,0.0,0.0,10800.0,10800.0,0.0,109.83084166666669,241.612591455,0.0
2025-02-01,9,1:30-1:40,0.4279,548.6058333333333,446.08,0.0,0.0,548.6058333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,102.52583333333331,234.74843608333333,0.0
2025-02-01,10,1:40-1:50,0.4312,554.4097333333333,471.7663333333333,0.0,0.0,554.4097333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,82.64339999999999,239.06147701333333,0.0
2025-02-01,11,1:50-2:00,0.4333,556.36365,448.02596666666665,0.0,0.0,556.36365,0.0,0.0,0.0,10800.0,10800.0,0.0,108.33768333333336,241.07236954500002,0.0
2025-02-01,12,2:00-2:10,0.4311,557.8391666666666,397.4033333333333,0.0,0.0,557.8391666666666,0.0,0.0,0.0,10800.0,10800.0,0.0,160.43583333333333,240.48446474999997,0.0
2025-02-01,13,2:10-2:20,0.4293,585.3738333333333,434.0906333333333,0.0,0.0,585.3738333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,151.28320000000002,251.30098665,0.0
2025-02-01,14,2:20-2:30,0.4324,601.2910083333334,490.5609166666666,0.0,0.0,601.2910083333334,0.0,0.0,0.0,10800.0,10800.0,0.0,110.73009166666674,259.9982320033333,0.0
2025-02-01,15,2:30-2:40,0.4367,591.3358333333333,503.22,0.0,0.0,591.3358333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,88.11583333333328,258.23635841666663,0.0
2025-02-01,16,2:40-2:50,0.4348,577.2758249999999,474.07281666666665,0.0,0.0,577.2758249999999,0.0,0.0,0.0,10800.0,10800.0,0.0,103.20300833333329,250.99952871,0.0
2025-02-01,17,2:50-3:00,0.4335,565.5532499999999,461.38439999999997,0.0,0.0,565.5532499999999,0.0,0.0,0.0,10800.0,10800.0,0.0,104.16884999999996,245.16733387499997,0.0
2025-02-01,18,3:00-3:10,0.4357,563.5708333333332,476.94166666666666,0.0,0.0,563.5708333333332,0.0,0.0,0.0,10800.0,10800.0,0.0,86.62916666666655,245.54781208333327,0.0
