时段序号,时间段,计划购电量/kWh,充电量/kWh,放电量/kWh,时段初SOC/kWh,时段末SOC/kWh,紧急购电量/kWh
1,0:00-0:10,561.5083441549026,0.0,0.0,5161.627597933877,5161.627597933877,0.0
2,0:10-0:20,561.410260589553,0.0,0.0,5161.627597933877,5161.627597933877,0.0
3,0:20-0:30,545.8276610307544,0.0,0.0,5161.627597933877,5161.627597933877,21.082338969245598
4,0:30-0:40,558.8988335039103,0.0,0.0,5161.627597933877,5161.627597933877,0.0
5,0:40-0:50,558.7589698657146,0.0,0.0,5161.627597933877,5161.627597933877,0.0
6,0:50-1:00,541.5198018234405,0.0,0.0,5161.627597933877,5161.627597933877,0.0
7,1:00-1:10,546.7043042429348,0.0,0.0,5161.627597933877,5161.627597933877,0.0
8,1:10-1:20,550.0239919592832,0.0,0.0,5161.627597933877,5161.627597933877,0.0
9,1:20-1:30,543.4276126700533,0.0,0.0,5161.627597933877,5161.627597933877,0.0
10,1:30-1:40,536.4073559724329,0.0,0.0,5161.627597933877,5161.627597933877,0.0
11,1:40-1:50,532.0880931357153,0.0,0.0,5161.627597933877,5161.627597933877,0.0
12,1:50-2:00,526.0954989492703,0.0,0.0,5161.627597933877,5161.627597933877,0.0
13,2:00-2:10,517.21746882498,0.0,0.0,5161.627597933877,5161.627597933877,0.0
14,2:10-2:20,505.34868490161483,0.0,0.0,5161.627597933877,5161.627597933877,0.0
15,2:20-2:30,499.4045873923382,0.0,0.0,5161.627597933877,5161.627597933877,0.0
16,2:30-2:40,507.2140936241862,0.0,0.0,5161.627597933877,5161.627597933877,0.0
17,2:40-2:50,500.8934772961183,0.0,0.0,5161.627597933877,5161.627597933877,0.0
18,2:50-3:00,486.16516982495494,0.0,0.0,5161.627597933877,5161.627597933877,3.208163508378334
19,3:00-3:10,492.4087153647935,0.0,0.0,5161.627597933877,5161.627597933877,0.0
20,3:10-3:20,499.40102356992026,0.0,0.0,5161.627597933877,5161.627597933877,0.0
21,3:20-3:30,496.8839270798324,0.0,0.0,5161.627597933877,5161.627597933877,0.0
22,3:30-3:40,496.27266685070924,0.0,0.0,5161.627597933877,5161.627597933877,0.0
23,3:40-3:50,496.03340981755326,0.0,0.0,5161.627597933877,5161.627597933877,0.0
24,3:50-4:00,492.73126283794164,0.0,0.0,5161.627597933877,5161.627597933877,0.0
25,4:00-4:10,60.53573175377009,0.0,429.6201042500488,5161.627597933877,4684.271926544934,0.0
26,4:10-4:20,481.9561752033819,0.0,0.0,4684.271926544934,4684.271926544934,0.0
27,4:20-4:30,473.0683002309622,0.0,0.0,4684.271926544934,4684.271926544934,0.0
28,4:30-4:40,476.542195496066,0.0,0.0,4684.271926544934,4684.271926544934,0.0
29,4:40-4:50,0.0,0.0,483.956666179563,4684.271926544934,4146.542297456531,0.0
30,4:50-5:00,482.5740324639804,0.0,0.0,4146.542297456531,4146.542297456531,0.0
31,5:00-5:10,453.3188711116325,0.0,0.0,4146.542297456531,4146.542297456531,0.0
32,5:10-5:20,0.0,0.0,419.7114269024487,4146.542297456531,3680.1962675649215,0.0
33,5:20-5:30,395.7577187368977,0.0,0.0,3680.1962675649215,3680.1962675649215,0.0
34,5:30-5:40,381.894504681501,0.0,0.0,3680.1962675649215,3680.1962675649215,0.0
35,5:40-5:50,0.0,0.0,355.65936316692364,3680.1962675649215,3285.019197379451,0.0
36,5:50-6:00,0.0,0.0,312.41116160090644,3285.019197379451,2937.8956844895547,0.0
37,6:00-6:10,0.0,0.0,266.84782242854874,2937.8956844895547,2641.398104013389,25.11467757145124
38,6:10-6:20,0.0,0.0,239.78166763097303,2641.398104013389,2374.9740288678636,6.68969903569365
39,6:20-6:30,0.0,0.0,214.68879888749086,2374.9740288678636,2136.4309189928736,0.0
40,6:30-6:40,0.0,0.0,164.22368666911848,2136.4309189928736,1953.9601560271865,0.0
41,6:40-6:50,0.0,0.0,150.50876250899802,1953.9601560271865,1786.7281976838553,0.0
42,6:50-7:00,0.0,0.0,166.4557859998975,1786.7281976838553,1601.7773243506358,0.0
43,7:00-7:10,0.0,0.0,134.25982012097057,1601.7773243506358,1452.5997464384463,0.0
44,7:10-7:20,0.0,0.0,98.32030452215815,1452.5997464384463,1343.3549636360483,0.0
45,7:20-7:30,0.0,0.0,75.10253471615727,1343.3549636360483,1259.907702840318,0.0
46,7:30-7:40,0.0,0.0,34.48341611363094,1259.907702840318,1221.5927960473948,0.0
47,7:40-7:50,0.0,7.500953019975327,0.0,1221.5927960473948,1228.3436537653727,0.0
48,7:50-8:00,0.0,42.47498856851723,0.0,1228.3436537653727,1266.571143477038,0.0
49,8:00-8:10,0.0,80.407416596203,0.0,1266.571143477038,1338.9378184136208,0.0
50,8:10-8:20,0.0,123.14564790370002,0.0,1338.9378184136208,1449.768901526951,0.0
51,8:20-8:30,0.0,164.5094267702549,0.0,1449.768901526951,1597.8273856201804,0.0
52,8:30-8:40,0.0,199.1659441356354,0.0,1597.8273856201804,1777.0767353422518,0.0
53,8:40-8:50,0.0,165.85435690849135,0.0,1777.0767353422518,1926.345656559894,0.0
54,8:50-9:00,0.0,108.38219583169365,0.0,1926.345656559894,2023.8896328084184,0.0
55,9:00-9:10,0.0,138.09028631687772,0.0,2023.8896328084184,2148.1708904936086,0.0
56,9:10-9:20,0.0,184.28818199342686,0.0,2148.1708904936086,2314.0302542876925,0.0
57,9:20-9:30,0.0,217.4665612159671,0.0,2314.0302542876925,2509.750159382063,0.0
58,9:30-9:40,0.0,251.19560441846716,0.0,2509.750159382063,2735.8262033586834,0.0
59,9:40-9:50,0.0,264.7769691857153,0.0,2735.8262033586834,2974.1254756258268,0.0
60,9:50-10:00,0.0,274.9074648826055,0.0,2974.1254756258268,3221.542194020172,0.0
61,10:00-10:10,0.0,311.3024338423428,0.0,3221.542194020172,3501.7143844782804,0.0
62,10:10-10:20,0.0,339.4717646206011,0.0,3501.7143844782804,3807.2389726368215,0.0
63,10:20-10:30,0.0,350.8308005805859,0.0,3807.2389726368215,4122.986693159349,0.0
64,10:30-10:40,0.0,365.2587989662711,0.0,4122.986693159349,4451.719612228992,0.0
65,10:40-10:50,0.0,385.97204687025805,0.0,4451.719612228992,4799.094454412225,0.0
66,10:50-11:00,0.0,405.6181440418278,0.0,4799.094454412225,5164.150784049871,0.0
67,11:00-11:10,0.0,394.49699177079356,0.0,5164.150784049871,5519.1980766435845,0.0
68,11:10-11:20,0.0,370.7409858749261,0.0,5519.1980766435845,5852.864963931018,0.0
69,11:20-11:30,0.0,352.70452024022404,0.0,5852.864963931018,6170.29903214722,0.0
70,11:30-11:40,0.0,331.1194722826916,0.0,6170.29903214722,6468.306557201642,0.0
71,11:40-11:50,0.0,325.32602652098365,0.0,6468.306557201642,6761.099981070527,0.0
72,11:50-12:00,0.0,332.3523993130814,0.0,6761.099981070527,7060.217140452301,0.0
73,12:00-12:10,0.0,330.0739826787212,0.0,7060.217140452301,7357.2837248631495,0.0
74,12:10-12:20,0.0,346.68458363674756,0.0,7357.2837248631495,7669.299850136223,0.0
75,12:20-12:30,0.0,365.28783848095065,0.0,7669.299850136223,7998.058904769078,0.0
76,12:30-12:40,0.0,322.152146431918,0.0,7998.058904769078,8287.995836557804,0.0
77,12:40-12:50,0.0,282.6219602307398,0.0,8287.995836557804,8542.35560076547,0.0
78,12:50-13:00,0.0,296.2276569654407,0.0,8542.35560076547,8808.960492034366,0.0
79,13:00-13:10,0.0,318.9531925958082,0.0,8808.960492034366,9096.018365370594,0.0
80,13:10-13:20,0.0,279.13853892151644,0.0,9096.018365370594,9347.243050399959,0.0
