as_of_date,history_end,validation_start,validation_end,emergency_spent_yuan,daily_emergency_budget_yuan,load_window_days,load_trend_degree,pv_window_days,risk_window_days,risk_radius_periods,purchase_quantile,risk_grouping,reserve_quantile
2025-02-01,2025-01-31,2025-01-15,2025-01-31,0,2994.011976047904,42,1,21,56,6,0.85,all,0.9
2025-03-01,2025-02-28,2025-02-01,2025-02-28,47810.21284582997,3111.731330569183,56,1,21,56,6,0.8,all,0.75
2025-04-01,2025-03-31,2025-03-04,2025-03-31,178195.21579785357,2988.381033462351,42,1,21,28,6,0.8,all,0.75
2025-05-01,2025-04-30,2025-04-03,2025-04-30,278608.3569557654,2944.455685894835,42,1,21,28,6,0.8,all,0.5
2025-06-01,2025-05-31,2025-05-04,2025-05-31,401299.4507202923,2797.6661181294753,56,1,14,56,6,0.85,all,0.75
2025-07-01,2025-06-30,2025-06-03,2025-06-30,550432.9676789424,2443.2990887014003,56,1,14,14,6,0.9,all,0.5
2025-08-01,2025-07-31,2025-07-04,2025-07-31,618437.1463372379,2493.8748605409287,56,1,21,56,6,0.85,all,0.5
2025-09-01,2025-08-31,2025-08-04,2025-08-31,680567.5298049038,2618.2989360253787,28,1,14,28,6,0.9,all,0.5
2025-10-01,2025-09-30,2025-09-03,2025-09-30,749166.9775717261,2726.445895959499,21,2,21,56,6,0.9,all,0.75
2025-11-01,2025-10-31,2025-10-04,2025-10-31,767947.7983134334,3804.1344538781404,28,1,14,56,6,0.75,all,0.5
2025-12-01,2025-11-30,2025-11-03,2025-11-30,818298.2116971308,5861.348009769974,42,1,21,28,6,0.75,all,0.75
